From,CancellationRate,NumberOfCancellation,DomesticDepRate,meanCost,TotalDepartures,numberOfTrainDeparted,numberOfPlanesDeparted,numberOfInternationalPlanesDeparted,numberOfBusDeparted
Minab,0.5,1,1.0,14.157058980317496,2,0.0,0.0,0.0,2.0
Mohammadiyeh,0.15384615384615385,4,1.0,14.217865440547818,26,26.0,0.0,0.0,0.0
Muscat,0.5,1,0.0,17.192134900376715,2,0.0,0.0,2.0,0.0
Nahavand,0.2,4,1.0,13.850090577334072,20,0.0,0.0,0.0,20.0
Najaf,0.13636363636363635,6,0.0,16.95369137520786,44,0.0,0.0,44.0,0.0
Najafabad,0.12751677852348994,19,1.0,14.157696434117026,149,0.0,0.0,0.0,149.0
Neka,0.5,4,1.0,13.849439294068741,8,0.0,0.0,0.0,8.0
Neqab,0.16666666666666666,5,1.0,13.375648256294705,30,30.0,0.0,0.0,0.0
Neyriz,0.03333333333333333,1,1.0,13.302280806792602,30,0.0,0.0,0.0,30.0
Neyshabur,0.24770642201834864,27,1.0,13.482251561922519,109,103.0,0.0,0.0,6.0
Nowshahr,0.12121212121212122,4,1.0,14.260863727010051,33,0.0,4.0,0.0,29.0
Nur,0.10256410256410256,8,1.0,13.894405055469301,78,0.0,0.0,0.0,78.0
Pars abad,0.0,0,1.0,14.46680333086577,3,0.0,0.0,0.0,3.0
Paveh,0.2,1,1.0,14.263424389191576,5,0.0,0.0,0.0,5.0
Pishva,0.4,2,1.0,13.240572726119813,5,5.0,0.0,0.0,0.0
Qaem Shahr,0.13333333333333333,8,1.0,13.481060328684274,60,13.0,0.0,0.0,47.0
Qarchak,0.0,0,1.0,14.091976236762127,12,0.0,0.0,0.0,12.0
Qazvin,0.12846347607052896,51,1.0,13.671328796735514,397,352.0,0.0,0.0,45.0
Qeshm Island,0.04,3,1.0,15.38751183195013,75,0.0,42.0,0.0,33.0
Qom,0.06829088224437062,185,1.0,12.178260119397038,2709,2451.0,0.0,0.0,258.0
Quchan,0.0,0,1.0,14.460423696855003,3,0.0,0.0,0.0,3.0
Ramsar,0.1276595744680851,12,1.0,14.316044511099053,94,0.0,8.0,0.0,86.0
Rasht,0.15461847389558234,231,1.0,14.386016047704093,1494,407.0,59.0,0.0,1028.0
Robat Karim,0.08333333333333333,1,1.0,13.973998082404819,12,0.0,0.0,0.0,12.0
Rudsar,0.21794871794871795,17,1.0,13.98149008975217,78,0.0,0.0,0.0,78.0
Saadat Shahr,0.0,0,1.0,14.993859628668014,6,6.0,0.0,0.0,0.0
Sabzevar,0.1,2,1.0,15.644750095898383,20,2.0,18.0,0.0,0.0
Salmas,0.3333333333333333,2,1.0,13.516784631622658,6,0.0,0.0,0.0,6.0
Sanandaj,0.0945945945945946,7,1.0,14.413782235198752,74,0.0,9.0,0.0,65.0
Saqez,0.05,2,1.0,13.953169361622892,40,0.0,0.0,0.0,40.0
Sarab,0.0,0,1.0,14.346138809026444,3,0.0,0.0,0.0,3.0
Sarakhs,0.01951219512195122,4,1.0,11.289781913656018,205,205.0,0.0,0.0,0.0
Sari,0.21076233183856502,141,1.0,14.203823127526753,669,244.0,81.0,0.0,344.0
Saveh,0.12903225806451613,4,1.0,12.807173459403478,31,1.0,0.0,0.0,30.0
Semnan,0.19112627986348124,112,1.0,13.162473184592628,586,406.0,0.0,0.0,180.0
Sepid Dasht,1.0,1,1.0,14.326536161732932,1,1.0,0.0,0.0,0.0
Shabestar,0.0,0,1.0,14.392270038447167,6,0.0,0.0,0.0,6.0
Shahin Dezh,0.20833333333333334,5,1.0,13.601378232260297,24,0.0,0.0,0.0,24.0
Shahin Shahr,0.13432835820895522,9,1.0,14.042972814771215,67,0.0,0.0,0.0,67.0
Shahr-e Babak,0.13333333333333333,2,1.0,14.58726561886535,15,0.0,0.0,0.0,15.0
Shahr-e Kord,0.17922948073701842,107,1.0,14.185934964611572,597,0.0,0.0,0.0,597.0
Shahr-e Qods,0.0,0,1.0,13.649725009946215,6,0.0,0.0,0.0,6.0
Shahreza,0.0989010989010989,9,1.0,14.077869418557581,91,4.0,0.0,0.0,87.0
Shahriar,0.18181818181818182,4,1.0,14.210633909531952,22,0.0,0.0,0.0,22.0
Shahrud,0.20179372197309417,135,1.0,13.699089282898186,669,334.0,0.0,0.0,335.0
Shiraz,0.1137140902872777,665,0.9993160054719562,14.34018397997092,5848,705.0,326.0,4.0,4813.0
Shirvan,0.0,0,1.0,14.46004657891709,20,0.0,0.0,0.0,20.0
Shush,0.18181818181818182,2,1.0,14.494065971802188,11,0.0,0.0,0.0,11.0
Shushtar,0.0945945945945946,7,1.0,14.490778618238016,74,0.0,0.0,0.0,74.0
Sirjan,0.11315789473684211,43,1.0,13.932993129894351,380,117.0,12.0,0.0,251.0
Someh Sara,0.5,2,1.0,13.783399469570282,4,0.0,0.0,0.0,4.0
Sonqor,0.07142857142857142,1,1.0,14.182770589905802,14,0.0,0.0,0.0,14.0
Tabas,0.19863013698630136,29,1.0,14.140642500679373,146,104.0,0.0,0.0,42.0
Tabriz,0.13789039481437831,234,0.9941072480848556,14.290979949456435,1697,714.0,246.0,10.0,727.0
Takestan,0.23728813559322035,14,1.0,12.673273662579554,59,59.0,0.0,0.0,0.0
Talesh,0.14285714285714285,1,1.0,13.876575424979896,7,0.0,0.0,0.0,7.0
Tbilisi,0.0,0,0.0,16.734189605040832,4,0.0,0.0,4.0,0.0
Tehran,0.15905170831957136,4334,0.994935593966751,14.13413304209749,27249,14320.0,1718.0,138.0,11073.0
Tonekabon,0.1404494382022472,25,1.0,14.15047581010058,178,0.0,0.0,0.0,178.0
Torbat-e Heydarieh,0.22727272727272727,15,1.0,14.286848507414918,66,56.0,0.0,0.0,10.0
Tuyserkan,0.0,0,1.0,14.186514007372013,18,0.0,0.0,0.0,18.0
Urmia,0.1400304414003044,92,0.9954337899543378,14.55438219810987,657,83.0,78.0,3.0,493.0
Varamin,0.05263157894736842,1,1.0,13.307637738554673,19,19.0,0.0,0.0,0.0
Yasuj,0.0967741935483871,6,1.0,14.249912407709466,62,0.0,0.0,0.0,62.0
Yazd,0.1683196372910173,594,1.0,14.119862073548685,3529,1354.0,122.0,0.0,2053.0
Zabol,0.0,0,1.0,15.791365926994787,7,0.0,6.0,0.0,1.0
Zahedan,0.136,102,1.0,14.398820137464652,750,268.0,62.0,0.0,420.0
Zanjan,0.17189952904238617,219,1.0,13.620022276365319,1274,857.0,0.0,0.0,417.0
Zarand,0.11764705882352941,8,1.0,14.336038119816367,68,68.0,0.0,0.0,0.0
Zavareh,0.5,1,1.0,13.240124684193514,2,2.0,0.0,0.0,0.0
