Domestic,TripReason,Vehicle,LogPrice,LogLeadTime,TimeOfDay,From_Rate,To_Rate,Route_Rate,User_Rate
1,1,0,14.739769459487606,1.6449777207398288,1,0.14293223542897673,0.1455289760138955,0.14734802516022222,0.13773065167352175
1,0,1,15.015625931962905,1.5949891456708842,1,0.13736372910091893,0.14963380452892425,0.1593288007629753,0.13773065167352175
1,1,0,13.748301808270824,0.5023561294746121,1,0.1315742705974605,0.14974230015187923,0.1535088696357446,0.0983790369096584
1,0,2,15.01547534089267,1.304140212236057,0,0.06672644110525403,0.11842621840254249,0.07295510861225361,0.13773065167352175
1,1,1,15.245702180121349,1.6476521252008627,2,0.14293223542897673,0.1455289760138955,0.14734802516022222,0.24123617976680123
1,0,1,14.468096126768097,2.7084936112690445,2,0.14288943820223704,0.1449834222768524,0.1458709202857761,0.0983790369096584
1,0,1,14.263076842091074,0.1425202121438631,1,0.14293223542897673,0.14971349215343616,0.16494151407921234,0.0983790369096584
1,1,2,16.03970158353031,1.3033753250788669,0,0.17447589578829908,0.14974230015187923,0.204078037010812,0.13773065167352175
1,1,2,16.289019162799907,2.375059637005342,0,0.14293223542897673,0.12202641181791803,0.10341814310880026,0.13773065167352175
1,1,1,14.258271450816135,0.5471994732747553,3,0.15216437773619565,0.14969931713017282,0.18587063581430754,0.11477554306126812
1,1,0,13.698976741708323,0.21884553175048782,3,0.18555177354230282,0.14974230015187923,0.17520895809309825,0.13773065167352175
1,1,0,14.01436141670944,0.9121689155149327,3,0.14293223542897673,0.13516894667994767,0.14943604137873678,0.13773065167352175
1,1,0,13.946538820370678,2.529889491705084,3,0.1065704742436525,0.15943266291838043,0.13984155980795396,0.0983790369096584
1,0,2,16.425065512317385,3.080690908680528,0,0.14293223542897673,0.07604003570813818,0.08072539894601541,0.28144220972793477
1,1,0,14.077874822431765,0.8595444389830539,0,0.15472051302547685,0.14252728380073953,0.1840493025183101,0.22754613033470433
1,0,0,13.710150042306449,1.6057520237178775,1,0.12416050478142143,0.14974230015187923,0.14042866306931814,0.11477554306126812
